KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000846001,T000846002,T000846003,T000846004,T000846005,T000846006,T000846007,T000846008,T000846009,T000846010,T000846011,T000846012,T000846013,T000846014,T000846015,T000846016,T000846017,T000846018,T000846019,T000846020,T000846021,T000846022,T000846023,T000846024,T000846025,T000846026,T000846027,T000846028,T000846029,T000846030,T000846031,T000846032,T000846033,T000846034,T000846035,T000846036,T000846037,T000846038,T000846039,T000846040,T000846041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
53390005,0,,,64,33,31,6,5,1,58,28,30,35,19,16,55,26,29,23,9,14,9,1,8,0,0,0,21,21,3,8,2,4,1,3,0,18,12,6,1,16,0,2,4
53390006,2,53390007,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53390007,1,,53390006,179,83,96,14,6,8,168,78,90,91,45,46,157,73,84,77,33,44,36,14,22,1,0,1,52,52,7,12,13,10,4,6,2,47,23,24,3,44,0,6,6
53390008,0,,,820,414,406,118,66,52,702,348,354,454,242,212,659,321,338,248,106,142,111,45,66,2,2,0,277,277,45,85,43,62,28,10,4,230,177,53,26,163,2,24,43
53390009,0,,,3732,1791,1941,532,269,263,3194,1518,1676,2147,1078,1069,2974,1415,1559,1047,440,607,488,196,292,18,9,9,1286,1283,202,413,266,254,94,34,20,1070,902,168,143,633,6,97,188
53390015,0,,,290,134,156,30,14,16,260,120,140,176,85,91,244,111,133,84,35,49,44,16,28,0,0,0,95,95,10,29,23,19,9,3,2,85,64,21,5,56,0,6,14
53390016,0,,,406,196,210,32,13,19,374,183,191,213,107,106,363,178,185,161,76,85,74,36,38,1,0,1,143,143,15,59,33,16,11,8,1,128,94,34,7,104,0,11,29
53390017,0,,,122,62,60,7,3,4,115,59,56,67,37,30,108,55,53,48,22,26,19,9,10,0,0,0,45,45,7,15,11,8,4,0,0,38,30,8,0,33,0,4,9
53390018,0,,,1121,502,619,94,53,41,1027,449,578,495,256,239,979,416,563,532,193,339,326,94,232,3,1,2,294,291,52,84,51,48,37,8,11,237,170,67,24,187,1,30,41
